Lambda, val
<<<<<<< HEAD
0.1,19.944674468360574
0.2,20.708010050270406
0.3,20.449443486364274
0.4,20.174259462086624
0.5,10.250357786589191
0.6,19.458231800067587
0.7,19.239880648591107
0.8,19.58779305576191
0.9,8.63467665500673
1.0,17.789051233445797
=======
0.1,0.01473103140503152
0.2,0.011809586866717065
0.3,0.007353517045855586
0.4,0.002227769077470742
0.5,0.002004750709403745
0.6,0.001885142730179185
0.7,0.006805786263748507
0.8,0.008165737049647058
0.9,0.011334404313730527
1.0,0.009838950663349324
>>>>>>> origin/main
